epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,289.115,1.81466,1.28685,1.72879,1.47487,0.95686,0.6,0.72263,0.18714,0.95686,0.6,0.72263,0.20527,1.18284,0.92662,1.06673,1.10455,0.00198393,0.00198393,0.00198393
43,296.134,1.68297,1.30471,1.54866,1.33207,0.69793,0.6938,0.65772,0.1625,0.69793,0.6938,0.622,0.19529,1.28656,0.85427,1.09993,1.16932,0.00198314,0.00198314,0.00198314
44,303.209,1.6352,1.17829,1.51396,1.31831,0.91594,0.4,0.58934,0.15536,0.91594,0.4,0.5793,0.15181,1.29066,1.16079,1.161,1.20281,0.00198233,0.00198233,0.00198233
45,309.824,1.60994,1.33554,1.41761,1.4027,0.86238,0.6,0.7681,0.20716,0.71455,0.75334,0.65048,0.22572,1.20967,0.96094,1.12361,1.19396,0.00198151,0.00198151,0.00198151
46,316.575,1.59306,1.34758,1.70308,1.34249,0.67079,0.61236,0.59553,0.1507,0.5675,0.52687,0.51233,0.16922,1.23714,1.01748,1.22589,1.2254,0.00198066,0.00198066,0.00198066
47,323.575,1.65919,1.3568,1.5289,1.37742,0.67892,0.8,0.72393,0.30977,0.87423,0.69569,0.74209,0.29881,1.15911,0.88521,1.07279,1.14242,0.00197979,0.00197979,0.00197979
48,330.433,1.64747,1.47013,1.5612,1.3934,0.70962,0.5,0.61387,0.22796,0.42791,1,0.65909,0.2228,1.22431,1.01399,1.22842,1.06422,0.00197891,0.00197891,0.00197891
49,337.146,1.64028,1.28023,1.58508,1.424,0.46819,0.6,0.6005,0.2073,0.40601,0.5,0.56255,0.19903,1.17819,1.03227,1.15322,1.03679,0.00197801,0.00197801,0.00197801
50,343.807,1.72809,1.41539,1.65501,1.45625,0.67027,0.7,0.653,0.24981,0.71314,0.7,0.69856,0.3003,1.12508,0.86967,1.12864,1.02418,0.00197709,0.00197709,0.00197709
51,350.564,1.42386,1.27466,1.40708,1.23388,0.72379,0.6,0.68704,0.2655,0.72379,0.6,0.67967,0.18136,1.22646,1.15306,1.18139,1.14544,0.00197615,0.00197615,0.00197615
52,357.513,1.50526,1.31358,1.43795,1.32615,0.79988,0.5,0.66747,0.25116,0.79988,0.5,0.66747,0.24922,1.20286,0.87631,1.2395,1.15105,0.00197519,0.00197519,0.00197519
53,364.18,1.52639,1.26299,1.48536,1.30283,0.68563,0.5,0.59597,0.20973,0.61115,0.6,0.67773,0.17009,1.18342,1.04639,1.0854,1.06969,0.00197421,0.00197421,0.00197421
54,371.099,1.66007,1.34411,1.61423,1.36829,0.51598,0.64155,0.6032,0.23089,0.57321,0.7,0.64026,0.17177,1.0935,1.033,1.47929,1.01352,0.00197322,0.00197322,0.00197322
55,378.033,1.55242,1.50915,1.54743,1.31811,0.71232,0.6,0.69108,0.26475,0.55585,0.50067,0.56983,0.22013,1.1005,0.91576,1.14107,1.05691,0.00197221,0.00197221,0.00197221
56,384.846,1.74284,1.30684,1.52544,1.48789,0.67812,0.5,0.59432,0.29412,0.81695,0.6,0.75161,0.33198,1.15119,0.9214,1.21028,1.09656,0.00197117,0.00197117,0.00197117
57,391.876,1.57971,1.16442,1.50177,1.30131,0.52084,0.5,0.52362,0.23494,0.65548,0.6,0.72357,0.25265,1.16523,0.92591,1.36209,1.09591,0.00197012,0.00197012,0.00197012
58,398.388,1.55208,1.13434,1.62553,1.30278,0.76399,0.6,0.81591,0.21765,0.76399,0.6,0.81156,0.25824,1.20696,0.77664,1.19234,1.0787,0.00196906,0.00196906,0.00196906
59,404.95,1.36574,1.17576,1.38416,1.15756,0.47814,0.8,0.67949,0.16702,0.68284,0.7,0.81005,0.18917,1.25393,0.89112,1.05486,1.16797,0.00196797,0.00196797,0.00196797
60,411.791,1.72922,1.39991,1.6838,1.38029,0.53254,0.7,0.6546,0.14784,0.40531,0.7,0.51638,0.13939,1.16164,1.05171,1.16317,1.03682,0.00196686,0.00196686,0.00196686
61,418.538,1.37277,1.1032,1.20198,1.17226,0.48727,0.8,0.65407,0.18254,0.48202,0.9,0.70167,0.16806,1.22519,0.83308,1.00295,1.08504,0.00196574,0.00196574,0.00196574
62,425.268,1.54771,1.23312,1.58085,1.33133,0.42517,0.5,0.46628,0.14138,0.31499,0.7,0.45897,0.11812,1.40934,0.89938,1.22174,1.17339,0.0019646,0.0019646,0.0019646
63,432.34,1.55747,1.35043,1.47155,1.32549,0.61566,0.5,0.55918,0.20758,0.53325,0.57316,0.58995,0.23576,1.22187,0.89232,1.20693,1.04329,0.00196344,0.00196344,0.00196344
64,439.241,1.72093,1.38403,1.57656,1.41201,0.73948,0.57054,0.5793,0.21003,0.64021,0.7127,0.66707,0.19755,1.19881,1.00011,1.19504,1.04981,0.00196226,0.00196226,0.00196226
65,446.075,1.27937,1.08055,1.25007,1.14027,0.80843,0.4253,0.59943,0.19149,0.8628,0.6,0.70174,0.15929,1.26354,1.12335,1.15022,1.07859,0.00196106,0.00196106,0.00196106
